Region,Happiness.Rank,Happiness.Score,Economy..GDP.per.Capita.
Australia and New Zealand,9.0,7.299000025,1.4450604915
North America,10.5,7.154500008,1.51273185
Western Europe,27.142857142857142,6.703714302666667,1.4574108634285716
Latin America and Caribbean,50.80952380952381,5.957904781619048,1.0116953651428573
Eastern Asia,71.25,5.496499896,1.2317488195
Southeastern Asia,73.75,5.444875001875,0.9652528612500001
Central and Eastern Europe,75.06896551724138,5.4099310349310334,1.0920510188965518
Middle East and Northern Africa,76.42105263157895,5.369684194210525,1.1685354300526316
Southern Asia,109.85714285714286,4.628428561142856,0.6974788138571428
Sub-Saharan Africa,128.15151515151516,4.121181813121212,0.5281379849696971
